사업장명,지번주소,별점,리뷰,감성
정식당,서울시 강남구 청담동,4.8,정갈하고 세련된 한식 코스가 인상적입니다.,긍정
밍글스,서울시 강남구 청담동,4.7,창의적인 한식과 훌륭한 서비스가 돋보입니다.,긍정
스와니예,서울시 서초구 서래마을,4.6,모던한식의 진수를 맛볼 수 있는 곳이에요.,긍정
멜팅샵,서울시 강남구 압구정동,4.5,이탈리안 요리가 정말 맛있고 분위기도 좋아요.,긍정
을밀대,서울시 마포구 마포동,4.3,평양냉면이 깔끔하고 시원해서 자주 찾게 됩니다.,중립
평양면옥,서울시 중구 장충동,4.2,면발이 쫄깃하고 육수가 깊은 맛이에요.,중립
새벽집,서울시 강남구 청담동,4.4,한우가 신선하고 육회가 특히 맛있어요.,중립
팔선,서울시 중구 을지로,4.6,고급스러운 중식 코스가 만족스러웠습니다.,긍정
우래옥,서울시 중구 을지로,4.1,전통 평양냉면의 맛을 느낄 수 있습니다.,중립
봉피양,서울시 송파구 잠실동,4.2,고기와 냉면 모두 훌륭한 맛이에요.,중립
대도식당,서울시 성동구 왕십리,4.3,고기 질이 좋아서 자주 방문합니다.,중립
하동관,서울시 중구 을지로,4.0,곰탕이 진하고 깔끔해서 든든합니다.,중립
장진우식당,서울시 종로구 경리단길,4.5,분위기와 음식 모두 만족스러운 곳이에요.,긍정
리북집,서울시 송파구 신천동,4.1,족발이 부드럽고 잡내가 없어요.,중립
명동교자,서울시 중구 명동,4.4,칼국수가 진하고 김치가 정말 맛있어요.,중립
부자피자,서울시 용산구 이태원동,4.2,피자가 쫄깃하고 토핑이 신선해요.,중립
소이연남,서울시 마포구 연남동,4.3,태국음식이 현지 느낌 그대로입니다.,중립
윤씨밀방,서울시 성동구 상수동,4.0,함박스테이크가 부드럽고 소스가 맛있어요.,중립
툭툭누들타이,서울시 용산구 이태원동,4.5,태국 현지의 맛을 잘 살린 곳입니다.,긍정
필동면옥,서울시 중구 필동,4.2,냉면 육수가 깔끔하고 시원해요.,중립
목란,서울시 마포구 연남동,4.3,중식 요리가 정통의 맛을 자랑합니다.,중립
성수족발,서울시 성동구 성수동,4.1,족발이 쫄깃하고 양이 많아요.,중립
토속촌삼계탕,서울시 종로구 효자동,4.4,삼계탕이 진하고 인삼향이 좋아요.,중립
삼정하누,서울시 송파구 삼전동,4.3,한정식 코스가 다양하고 맛있어요.,중립
일일향,서울시 강남구 압구정동,4.2,중식 요리가 깔끔하고 고급스러워요.,중립
호수삼계탕,서울시 영등포구 신길동,4.0,삼계탕이 담백하고 건강한 맛입니다.,중립
목포집,서울시 강남구 신사동,4.1,닭볶음탕이 매콤하고 부드러워요.,중립
진주집,서울시 영등포구 여의도동,4.3,콩국수가 고소하고 시원해요.,중립
스시조,서울시 중구 시청,4.7,스시가 신선하고 서비스가 훌륭합니다.,긍정
진미식당,서울시 마포구 공덕동,4.2,간장게장이 짜지 않고 밥도둑이에요.,중립
벽제갈비,서울시 강남구 방이동,4.5,한우 갈비가 부드럽고 육즙이 풍부해요.,긍정
스시효,서울시 강남구 청담동,4.8,최고급 스시를 맛볼 수 있는 곳입니다.,긍정
삼청동수제비,서울시 종로구 삼청동,4.1,수제비가 쫄깃하고 국물이 진해요.,중립
랩24,서울시 강남구 청담동,4.6,프렌치 코스가 인상적이고 맛있어요.,긍정
스시선수,서울시 도산공원,4.7,스시가 신선하고 분위기가 좋아요.,긍정
스시코우지,서울시 강남구 압구정동,4.5,스시의 밸런스가 훌륭합니다.,긍정
자하손만두,서울시 종로구 부암동,4.2,만두국이 담백하고 속이 꽉 찼어요.,중립
GOOSTK733,서울시 용산구 이태원동,4.3,스테이크가 부드럽고 육즙이 가득해요.,중립
권숙수,서울시 강남구 압구정동,4.7,모던한식의 정수를 느낄 수 있습니다.,긍정
페이퍼가든,서울시 중구 을지로,4.1,프렌치 요리가 깔끔하고 맛있어요.,중립
라이카페,서울시 중구 장충동,4.0,스시가 신선하고 분위기가 좋아요.,중립
류니끄,서울시 강남구 신사동,4.5,퓨전프렌치가 독특하고 맛있어요.,긍정
팔레드고몽,서울시 강남구 청담동,4.2,프렌치 요리가 정통의 맛을 자랑합니다.,중립
미피체,서울시 강남구 청담동,4.3,이탈리안 요리가 고급스럽고 맛있어요.,중립
원강,서울시 강남구 논현동,4.0,한우가 신선하고 구이가 맛있어요.,중립
리스토란테에오,서울시 강남구 청담동,4.4,이탈리안 코스가 다양하고 훌륭해요.,중립
툭툭,서울시 도산공원,4.1,퓨전프렌치가 독특하고 분위기가 좋아요.,중립
보나세라,서울시 도산공원,4.2,이탈리안 요리가 정통의 맛을 자랑합니다.,중립
스테이크,서울시 송파구 잠실동,4.3,프렌치 스테이크가 부드럽고 맛있어요.,중립
송쉐프,서울시 영등포구 신길동,4.0,중식 요리가 깔끔하고 맛있어요.,중립
